address,name
ffffffff8100b8e0,cmask_show
ffffffff8100b910,inv_show
ffffffff8100b940,edge_show
ffffffff8100b970,umask_show
ffffffff8100b9a0,event_show
ffffffff8100b9d0,amd_pmu_del_event
ffffffff8100b9f0,amd_pmu_add_event
ffffffff8100ba10,amd_pmu_enable_event
ffffffff8100ba20,amd_pmu_enable_all
ffffffff8100bab0,branches_show
ffffffff8100bae0,amd_pmu_addr_offset
ffffffff8100bb30,amd_pmu_limit_period
ffffffff8100bb60,amd_put_event_constraints
ffffffff8100bbf0,amd_pmu_hw_config
ffffffff8100bd00,amd_pmu_brs_del
ffffffff8100bd10,amd_pmu_handle_irq
ffffffff8100bd80,amd_get_event_constraints_f17h
ffffffff8100bdc0,amd_get_event_constraints_f19h
ffffffff8100bed0,amd_pmu_disable_all
ffffffff8100bee0,amd_get_event_constraints
ffffffff8100c010,amd_pmu_test_overflow_status
ffffffff8100c050,amd_pmu_test_overflow_topbit
ffffffff8100c0b0,amd_pmu_v2_disable_all
ffffffff8100c0f0,amd_pmu_v2_enable_all
ffffffff8100c120,amd_pmu_enable_virt
ffffffff8100c1b0,amd_pmu_disable_virt
ffffffff8100c250,amd_pmu_disable_event
ffffffff8100c330,amd_pmu_cpu_starting
ffffffff8100c4b0,amd_pmu_v2_enable_event
ffffffff8100c5a0,amd_pmu_v2_handle_irq
ffffffff8100c980,amd_pmu_v2_snapshot_branch_stack
ffffffff8100caf0,amd_pmu_lbr_read
ffffffff8100ce60,amd_pmu_lbr_hw_config
ffffffff8100cf50,amd_pmu_lbr_reset
ffffffff8100d000,amd_pmu_lbr_add
ffffffff8100d090,amd_pmu_lbr_del
ffffffff8100d0e0,amd_pmu_lbr_sched_task
ffffffff8100d110,amd_pmu_lbr_enable_all
ffffffff8100d220,amd_pmu_lbr_disable_all
ffffffff8100d2e0,perf_ibs_init
ffffffff8100d4a0,get_ibs_fetch_count
ffffffff8100d4b0,get_ibs_op_count
ffffffff8100d500,perf_ibs_read
ffffffff8100d510,zen4_ibs_extensions_is_visible
ffffffff8100d530,cnt_ctl_is_visible
ffffffff8100d550,get_ibs_caps
ffffffff8100d560,rand_en_show
ffffffff8100d590,cnt_ctl_show
ffffffff8100d650,perf_ibs_suspend
ffffffff8100d6a0,x86_pmu_amd_ibs_dying_cpu
ffffffff8100d750,x86_pmu_amd_ibs_starting_cpu
ffffffff8100d760,perf_ibs_start
ffffffff8100d910,perf_ibs_add
ffffffff8100db90,perf_ibs_resume
ffffffff8100dbb0,perf_ibs_stop
ffffffff8100dd20,perf_ibs_del
ffffffff8100e9b0,perf_ibs_nmi_handler
ffffffff8100ea10,forward_event_to_ibs
ffffffff8100ea90,amd_f17h_uncore_is_visible
ffffffff8100eab0,amd_f19h_uncore_is_visible
ffffffff8100ead0,amd_uncore_cpu_starting
ffffffff8100eb00,amd_uncore_cpu_online
ffffffff8100eb30,amd_uncore_cpu_down_prepare
ffffffff8100eb60,amd_uncore_cpu_dead
ffffffff8100eb90,amd_uncore_l3_event_init
ffffffff8100ecb0,amd_uncore_umc_ctx_scan
ffffffff8100ed00,amd_uncore_del
ffffffff8100ed80,amd_uncore_add
ffffffff8100eeb0,__uncore_rdwrmask_show
ffffffff8100eed0,__uncore_event8_show
ffffffff8100eef0,__uncore_sliceid_show
ffffffff8100ef20,__uncore_enallcores_show
ffffffff8100ef50,__uncore_enallslices_show
ffffffff8100ef80,__uncore_coreid_show
ffffffff8100efb0,__uncore_slicemask_show
ffffffff8100efe0,__uncore_threadmask8_show
ffffffff8100f010,__uncore_threadmask2_show
ffffffff8100f040,__uncore_umask8_show
ffffffff8100f070,__uncore_event12_show
ffffffff8100f0a0,__uncore_event14_show
ffffffff8100f0e0,__uncore_umask12_show
ffffffff8100f120,__uncore_event14v2_show
ffffffff8100f150,amd_uncore_attr_show_cpumask
ffffffff8100f180,amd_uncore_read
ffffffff8100f210,amd_uncore_df_ctx_scan
ffffffff8100f280,amd_uncore_l3_ctx_scan
ffffffff8100f370,amd_uncore_ctx_free
ffffffff8100f590,amd_uncore_ctx_move
ffffffff8100f6d0,amd_uncore_umc_event_init
ffffffff8100f750,amd_uncore_df_event_init
ffffffff8100f7f0,amd_uncore_umc_ctx_init
ffffffff8100fb70,amd_uncore_df_ctx_init
ffffffff8100fd90,amd_uncore_l3_ctx_init
ffffffff8100ffc0,amd_uncore_stop
ffffffff81010030,amd_uncore_umc_read
ffffffff810100d0,amd_uncore_umc_start
ffffffff81010150,amd_uncore_start
ffffffff810101d0,amd_uncore_df_add
ffffffff81010280,perf_iommu_event_init
ffffffff810102e0,_iommu_event_show
ffffffff81010300,domid_mask_show
ffffffff81010330,pasid_mask_show
ffffffff81010360,devid_mask_show
ffffffff81010390,domid_show
ffffffff810103c0,pasid_show
ffffffff810103f0,devid_show
ffffffff81010420,csource_show
ffffffff81010440,perf_iommu_read
ffffffff810104c0,perf_iommu_start
ffffffff810106d0,_iommu_cpumask_show
ffffffff81010700,perf_iommu_add
ffffffff810108e0,perf_iommu_stop
ffffffff81010900,perf_iommu_del
ffffffff81010990,test_aperfmperf
ffffffff810109b0,test_ptsc
ffffffff810109d0,test_irperf
ffffffff810109f0,test_therm_status
ffffffff81010a00,test_intel
ffffffff81010ad0,msr_event_init
ffffffff81010b50,event_show
ffffffff81010b80,msr_event_add
ffffffff81010be0,msr_event_start
ffffffff81010c50,msr_event_update
ffffffff81010d20,msr_event_stop
ffffffff81010d30,msr_event_del
ffffffff81010d40,intel_pmu_event_map
ffffffff81010d50,intel_pmu_disable_all
ffffffff81010e00,intel_pebs_aliases_core2
ffffffff81010e40,intel_pebs_aliases_snb
ffffffff81010e80,adl_get_hybrid_cpu_type
ffffffff81010e90,hsw_limit_period
ffffffff81010ec0,nhm_limit_period
ffffffff81010ee0,glc_limit_period
ffffffff81010f10,tsx_is_visible
ffffffff81010f30,exra_is_visible
ffffffff81010f50,hybrid_events_is_visible
ffffffff81010f80,hybrid_td_is_visible
ffffffff81010fb0,intel_pmu_v6_addr_offset
ffffffff81011020,intel_guest_get_msrs
ffffffff810113e0,intel_stop_scheduling
ffffffff81011430,intel_commit_scheduling
ffffffff810114b0,intel_start_scheduling
ffffffff81011500,intel_event_sysfs_show
ffffffff81011510,intel_pmu_filter
ffffffff81011530,intel_pmu_update
ffffffff81011550,intel_pmu_set_period
ffffffff81011570,show_sysctl_tfa
ffffffff810115a0,branch_counter_width_show
ffffffff810115d0,branches_show
ffffffff81011600,intel_hybrid_get_attr_cpus
ffffffff81011630,set_sysctl_tfa
ffffffff810116c0,freeze_on_smi_store
ffffffff81011780,freeze_on_smi_show
ffffffff810117a0,eq_show
ffffffff810117d0,umask2_show
ffffffff81011840,frontend_show
ffffffff81011870,ldlat_show
ffffffff810118a0,offcore_rsp_show
ffffffff810118d0,in_tx_cp_show
ffffffff81011900,in_tx_show
ffffffff81011930,cmask_show
ffffffff81011960,inv_show
ffffffff81011990,any_show
ffffffff810119c0,pc_show
ffffffff810119f0,edge_show
ffffffff81011a20,umask_show
ffffffff81011a50,event_show
ffffffff81011a70,branch_counter_nr_show
ffffffff81011ab0,hybrid_tsx_is_visible
ffffffff81011b20,hybrid_format_is_visible
ffffffff81011bf0,intel_pmu_aux_output_match
ffffffff81011c10,intel_pmu_swap_task_ctx
ffffffff81011c20,intel_pmu_sched_task
ffffffff81011c50,intel_pmu_del_event
ffffffff81011c90,intel_pmu_add_event
ffffffff81011cd0,intel_pmu_cpu_dying
ffffffff81011ce0,core_pmu_enable_event
ffffffff81011da0,intel_pmu_assign_event
ffffffff81011dc0,intel_check_pebs_isolation
ffffffff81011df0,intel_pebs_aliases_ivb
ffffffff81011e60,intel_pebs_aliases_skl
ffffffff81011ed0,bdw_limit_period
ffffffff81011f00,lbr_is_visible
ffffffff81011f30,default_is_visible
ffffffff81011f60,mem_is_visible
ffffffff81011f90,td_is_visible
ffffffff81011fb0,evtsel_ext_is_visible
ffffffff81012080,update_tfa_sched
ffffffff810120c0,flip_smm_bit
ffffffff810120e0,intel_snb_check_microcode
ffffffff81012750,snoop_rsp_show
ffffffff81012780,intel_pmu_check_period
ffffffff81012840,core_pmu_hw_config
ffffffff81012860,intel_pmu_hw_config
ffffffff81012890,core_guest_get_msrs
ffffffff81012a00,intel_put_event_constraints
ffffffff81012b70,hsw_hw_config
ffffffff81012c20,adl_hw_config
ffffffff81012c70,core_pmu_enable_all
ffffffff81012e00,x86_pmu_disable_event
ffffffff81012fd0,intel_pmu_snapshot_branch_stack
ffffffff81013070,intel_pmu_snapshot_arch_branch_stack
ffffffff810130d0,intel_pmu_enable_all
ffffffff810130e0,intel_tfa_pmu_enable_all
ffffffff81013140,intel_tfa_commit_scheduling
ffffffff81013190,icl_update_topdown_event
ffffffff81013370,intel_pmu_read_event
ffffffff810134a0,intel_pmu_nhm_enable_all
ffffffff810136e0,icl_set_topdown_event_period
ffffffff81013c30,intel_pmu_cpu_starting
ffffffff81014250,intel_pmu_handle_irq
ffffffff81014820,intel_pmu_disable_event
ffffffff81014a30,intel_pmu_enable_event
ffffffff81014df0,intel_pmu_save_and_restart
ffffffff81014e40,x86_get_event_constraints
ffffffff81014ed0,intel_get_event_constraints
ffffffff81015220,hsw_get_event_constraints
ffffffff81015250,cmt_get_event_constraints
ffffffff810152d0,tnt_get_event_constraints
ffffffff81015330,glp_get_event_constraints
ffffffff81015360,icl_get_event_constraints
ffffffff810153d0,tfa_get_event_constraints
ffffffff81015440,glc_get_event_constraints
ffffffff81015500,mtl_get_event_constraints
ffffffff810155a0,adl_get_event_constraints
ffffffff81015630,intel_cpuc_prepare
ffffffff81015800,intel_pmu_cpu_prepare
ffffffff81015830,intel_cpuc_finish
ffffffff810158c0,intel_pmu_cpu_dead
ffffffff81015910,bts_event_read
ffffffff81015b40,bts_event_stop
ffffffff81015c50,bts_event_del
ffffffff81015c60,bts_buffer_free_aux
ffffffff81015c70,bts_buffer_setup_aux
ffffffff81015f40,bts_event_init
ffffffff81015fd0,bts_event_destroy
ffffffff810161f0,bts_event_start
ffffffff81016290,bts_event_add
ffffffff810162f0,intel_bts_enable_local
ffffffff81016330,intel_bts_disable_local
ffffffff81016370,intel_bts_interrupt
ffffffff810175d0,intel_pmu_drain_pebs_nhm
ffffffff81017b80,intel_pmu_drain_pebs_icl
ffffffff810180a0,intel_pmu_drain_pebs_core
ffffffff81018410,grt_latency_data
ffffffff81018440,cmt_latency_data
ffffffff81018470,lnl_latency_data
ffffffff81018560,init_debug_store_on_cpu
ffffffff810185a0,fini_debug_store_on_cpu
ffffffff810185d0,release_ds_buffers
ffffffff81018700,reserve_ds_buffers
ffffffff81018d40,intel_pmu_enable_bts
ffffffff81018dd0,intel_pmu_disable_bts
ffffffff81018e40,intel_pmu_drain_bts_buffer
ffffffff81019040,intel_pmu_drain_pebs_buffer
ffffffff81019090,intel_pebs_constraints
ffffffff81019120,intel_pmu_pebs_sched_task
ffffffff81019160,intel_pmu_pebs_add
ffffffff810191e0,intel_pmu_pebs_enable
ffffffff81019500,intel_pmu_pebs_del
ffffffff81019570,intel_pmu_pebs_disable
ffffffff810196b0,intel_pmu_pebs_enable_all
ffffffff810196f0,intel_pmu_pebs_disable_all
ffffffff81019730,perf_restore_debug_store
ffffffff81019770,knc_pmu_event_map
ffffffff81019780,cmask_show
ffffffff810197b0,inv_show
ffffffff810197e0,edge_show
ffffffff81019810,umask_show
ffffffff81019840,event_show
ffffffff81019860,knc_pmu_disable_event
ffffffff810198a0,knc_pmu_enable_event
ffffffff810198e0,knc_pmu_disable_all
ffffffff81019940,knc_pmu_enable_all
ffffffff810199a0,knc_pmu_handle_irq
ffffffff81019bd0,x86_perf_get_lbr
ffffffff81019e30,intel_pmu_arch_lbr_xsaves
ffffffff81019e50,intel_pmu_arch_lbr_xrstors
ffffffff81019fc0,intel_pmu_arch_lbr_reset
ffffffff81019ff0,intel_pmu_arch_lbr_save
ffffffff8101a370,intel_pmu_arch_lbr_read
ffffffff8101a380,intel_pmu_arch_lbr_read_xsave
ffffffff8101a3c0,intel_pmu_arch_lbr_restore
ffffffff8101a4e0,intel_pmu_lbr_reset_32
ffffffff8101a520,intel_pmu_lbr_reset_64
